CAAB ID	Scientific Name	Full authority	Common Name	Family	Genus	Specific epithet
37099002	Rhynchohyalus natalensis	(Gilchrist & von Bonde, 1924)	Glasshead Barreleye	Opisthoproctidae	Rhynchohyalus	natalensis
37099003	Winteria telescopa	Brauer, 1901	Binocular Fish	Opisthoproctidae	Winteria	telescopa
37101001	Retropinna semoni	(Weber, 1895)	Australian Smelt	Retropinnidae	Retropinna	semoni
37101002	Retropinna tasmanica	McCulloch, 1920	Tasmanian Smelt	Retropinnidae	Retropinna	tasmanica
37102002	Galaxias brevipinnis	Günther, 1866	Climbing Galaxias	Galaxiidae	Galaxias	brevipinnis
37102003	Neochanna cleaveri	(Scott, 1934)	Tasmanian Mudfish	Galaxiidae	Neochanna	cleaveri
37102006	Galaxias maculatus	(Jenyns, 1842)	Common Galaxias	Galaxiidae	Galaxias	maculatus
37102010	Galaxias truttaceus	Valenciennes, 1846	Trout Galaxias	Galaxiidae	Galaxias	truttaceus
37103001	Prototroctes maraena	Günther, 1864	Australian Grayling	Prototroctidae	Prototroctes	maraena
37103002	Lovettia sealii	(Johnston, 1883)	Tasmanian Whitebait	Aplochitonidae	Lovettia	sealii
37106001	Polymetme corythaeola	(Alcock, 1898)	Rendezvous Fish	Phosichthyidae	Polymetme	corythaeola
37106002	Phosichthys argenteus	(Hutton, 1872)	Silver Lightfish	Phosichthyidae	Phosichthys	argenteus
37106003	Gonostoma atlanticum	Norman, 1930	Atlantic Fangjaw	Gonostomatidae	Gonostoma	atlanticum
37106004	Sigmops elongatus	(Günther, 1878)	Elongate Fangjaw	Gonostomatidae	Sigmops	elongatus
37106005	Vinciguerria attenuata	(Cocco, 1838)	Slender Lightfish	Phosichthyidae	Vinciguerria	attenuata
37106006	Vinciguerria nimbaria	(Jordan & Williams, 1896)	Narooma Lightfish	Phosichthyidae	Vinciguerria	nimbaria
37106007	Vinciguerria poweriae	(Cocco, 1838)	Power's Lightfish	Phosichthyidae	Vinciguerria	poweriae
37106008	Diplophos taenia	Günther, 1873	Pacific Portholefish	Gonostomatidae	Diplophos	taenia
37106009	Ichthyococcus ovatus	(Cocco, 1838)	Ovate Lightfish	Phosichthyidae	Ichthyococcus	ovatus
37106010	Diplophos rebainsi	Krefft & Parin, 1972	Rebains' Portholefish	Gonostomatidae	Diplophos	rebainsi
37106011	Woodsia meyerwaardeni	Krefft, 1973	Austral Lightfish	Phosichthyidae	Woodsia	meyerwaardeni
37106012	Bonapartia pedaliota	Goode & Bean, 1896	Longray Fangjaw	Gonostomatidae	Bonapartia	pedaliota
37106013	Cyclothone acclinidens	Garman, 1899	Bent-tooth Bristlemouth	Gonostomatidae	Cyclothone	acclinidens
37106014	Cyclothone alba	Brauer, 1906	Pale Bristlemouth	Gonostomatidae	Cyclothone	alba
37106015	Cyclothone braueri	Jespersen & Tåning, 1926	Brauer's Bristlemouth	Gonostomatidae	Cyclothone	braueri
37106016	Cyclothone microdon	(Günther, 1878)	Smalltooth Bristlemouth	Gonostomatidae	Cyclothone	microdon
37106017	Cyclothone obscura	Brauer, 1902	Hidden Bristlemouth	Gonostomatidae	Cyclothone	obscura
37106018	Cyclothone pallida	Brauer, 1902	Tanned Bristlemouth	Gonostomatidae	Cyclothone	pallida
37106019	Cyclothone pseudopallida	Mukhacheva, 1964	Slender Bristlemouth	Gonostomatidae	Cyclothone	pseudopallida
37106020	Sigmops bathyphilus	(Vaillant, 1884)	Deepsea Fangjaw	Gonostomatidae	Sigmops	bathyphilus
37106021	Margrethia obtusirostra	Jespersen & Tåning, 1919	Bighead Portholefish	Gonostomatidae	Margrethia	obtusirostra
37106022	Ichthyococcus australis	Mukhacheva, 1980	Southern Lightfish	Phosichthyidae	Ichthyococcus	australis
37106023	Ichthyococcus intermedius	Mukhacheva, 1980	Intermediate Lightfish	Phosichthyidae	Ichthyococcus	intermedius
37106024	Woodsia nonsuchae	(Beebe, 1932)	Bigeye Lightfish	Phosichthyidae	Woodsia	nonsuchae
37106025	Cyclothone kobayashii	Miya, 1994	Kobayashi's Bristlemouth	Gonostomatidae	Cyclothone	kobayashii
37106026	Cyclothone parapallida	Badcock, 1982	Shadow Bristlemouth	Gonostomatidae	Cyclothone	parapallida
37106027	Polymetme illustris	McCulloch, 1926	Brilliant Lightfish	Phosichthyidae	Polymetme	illustris
37106028	Polymetme surugaensis	(Matsubara, 1943)	Suruga Lightfish	Phosichthyidae	Polymetme	surugaensis
37107001	Argyropelecus aculeatus	Valenciennes, 1849	Lovely Hatchetfish	Sternoptychidae	Argyropelecus	aculeatus
37107002	Maurolicus australis	Hector, 1875	Pennant Pearlside	Sternoptychidae	Maurolicus	australis
37107003	Polyipnus tridentifer	McCulloch, 1914	Threespine Hatchetfish	Sternoptychidae	Polyipnus	tridentifer
37107004	Argyripnus iridescens	McCulloch, 1926	Brilliant Pearlside	Sternoptychidae	Argyripnus	iridescens
37107005	Argyropelecus gigas	Norman, 1930	Giant Hatchetfish	Sternoptychidae	Argyropelecus	gigas
37107006	Argyropelecus hemigymnus	Cocco, 1829	Halfnaked Hatchetfish	Sternoptychidae	Argyropelecus	hemigymnus
37107008	Polyipnus aquavitus	Baird, 1971	Aquavit Hatchetfish	Sternoptychidae	Polyipnus	aquavitus
37107009	Sternoptyx diaphana	Hermann, 1781	Oblique Hatchetfish	Sternoptychidae	Sternoptyx	diaphana
37107010	Valenciennellus tripunctulatus	(Esmark, 1871)	Constellationfish	Sternoptychidae	Valenciennellus	tripunctulatus
37107012	Argyripnus ephippiatus	Gilbert & Cramer, 1897	Saddled Pearlside	Sternoptychidae	Argyripnus	ephippiatus
37107013	Argyropelecus sladeni	Regan, 1908	Lowcrest Hatchetfish	Sternoptychidae	Argyropelecus	sladeni
37107014	Polyipnus elongatus	Borodulina, 1979	Elongate Hatchetfish	Sternoptychidae	Polyipnus	elongatus
37107015	Polyipnus kiwiensis	Baird, 1971	Kiwi Hatchetfish	Sternoptychidae	Polyipnus	kiwiensis
37107016	Polyipnus ruggeri	Baird, 1971	Rugby Hatchetfish	Sternoptychidae	Polyipnus	ruggeri
37107017	Polyipnus spinosus	Günther, 1887	Spiny Hatchetfish	Sternoptychidae	Polyipnus	spinosus
37107018	Sternoptyx pseudodiaphana	Borodulina, 1977	False Oblique Hatchetfish	Sternoptychidae	Sternoptyx	pseudodiaphana
37107019	Sternoptyx pseudobscura	Baird, 1971	Highlight Hatchetfish	Sternoptychidae	Sternoptyx	pseudobscura
37107020	Polyipnus latirastrus	Last & Harold, 1994	Combside Hatchetfish	Sternoptychidae	Polyipnus	latirastrus
37107021	Polyipnus paxtoni	Harold, 1989	Paxton's Hatchetfish	Sternoptychidae	Polyipnus	paxtoni
37107022	Polyipnus soelae	Harold, 1994	Soela Hatchetfish	Sternoptychidae	Polyipnus	soelae
37107023	Polyipnus triphanos	Schultz, 1938	Threelight Hatchetfish	Sternoptychidae	Polyipnus	triphanos
37107024	Maurolicus javanicus	Parin & Kobyliansky, 1993	Javan Pearlside	Sternoptychidae	Maurolicus	javanicus
37108001	Astronesthes bilobatus	Parin & Borodulina, 1996	Twinlobe Snaggletooth	Astronesthidae	Astronesthes	bilobatus
37108003	Astronesthes boulengeri	Gilchrist, 1902	Boulenger's Snaggletooth	Astronesthidae	Astronesthes	boulengeri
37108004	Astronesthes indopacificus	Parin & Borodulina, 1997	Indo-Pacific Snaggletooth	Astronesthidae	Astronesthes	indopacificus
37108005	Astronesthes lucifer	Gilbert, 1905	Pacific Snaggletooth	Astronesthidae	Astronesthes	lucifer
37108006	Astronesthes lupina	Whitley, 1941	Little Wolf	Astronesthidae	Astronesthes	lupina
37108008	Astronesthes psychrolutes	(Gibbs & Weitzman, 1965)	Temperate Snaggletooth	Astronesthidae	Astronesthes	psychrolutes
37108009	Astronesthes trifibulatus	Gibbs, Amaoka & Haruta, 1984	Triplethread Snaggletooth	Astronesthidae	Astronesthes	trifibulatus
37108010	Borostomias antarcticus	(Lönnberg, 1905)	Antarctic Snaggletooth	Astronesthidae	Borostomias	antarcticus
37108011	Borostomias mononema	(Regan & Trewavas, 1929)	Sickle Snaggletooth	Astronesthidae	Borostomias	mononema
37108012	Heterophotus ophistoma	Regan & Trewavas, 1929	Wingfin Snaggletooth	Astronesthidae	Heterophotus	ophistoma
37108013	Neonesthes capensis	(Gilchrist & von Bonde, 1924)	Cape Snaggletooth	Astronesthidae	Neonesthes	capensis
37108014	Neonesthes microcephalus	Norman, 1930	Smallhead Snaggletooth	Astronesthidae	Neonesthes	microcephalus
37108015	Astronesthes ijimai	Tanaka, 1908	Ijima's Snaggletooth	Astronesthidae	Astronesthes	ijimai
37108016	Eupogonesthes xenicus	Parin & Borodulina, 1993	Exotic Snaggletooth	Astronesthidae	Eupogonesthes	xenicus
37108017	Astronesthes indicus	Brauer, 1902	Black Snaggletooth	Astronesthidae	Astronesthes	indicus
37108018	Astronesthes exsul	Parin & Borodulina, 2002	Exile Snaggletooth	Astronesthidae	Astronesthes	exsul
37108019	Astronesthes kreffti	Gibbs & McKinney, 1988	Krefft's Snaggletooth	Astronesthidae	Astronesthes	kreffti
37108020	Astronesthes splendidus	Brauer, 1902	Splendid Snaggletooth	Astronesthidae	Astronesthes	splendidus
37109001	Bathophilus abarbatus	Barnett & Gibbs, 1968	Barbless Dragonfish	Melanostomiidae	Bathophilus	abarbatus
37109003	Bathophilus longipinnis	(Pappenheim, 1914)	Longfin Dragonfish	Melanostomiidae	Bathophilus	longipinnis
37109004	Bathophilus nigerrimus	Giglioli, 1882	Scaleless Dragonfish	Melanostomiidae	Bathophilus	nigerrimus
37109005	Bathophilus pawneei	Parr, 1927	Pawnee Dragonfish	Melanostomiidae	Bathophilus	pawneei
37109006	Echiostoma barbatum	Lowe, 1843	Threadfin Dragonfish	Melanostomiidae	Echiostoma	barbatum
37109007	Eustomias enbarbatus	Welsh, 1923	Barbate Dragonfish	Melanostomiidae	Eustomias	enbarbatus
37109008	Eustomias trewavasae	Norman, 1930	Deepsea Dragonfish	Melanostomiidae	Eustomias	trewavasae
37109009	Bathophilus ater	(Brauer, 1902)	Winged Dragonfish	Melanostomiidae	Bathophilus	ater
37109010	Bathophilus indicus	(Brauer, 1902)	Black Dragonfish	Melanostomiidae	Bathophilus	indicus
37109011	Eustomias achirus	Parin & Pokhilskaya, 1974	Proud Dragonfish	Melanostomiidae	Eustomias	achirus
37109012	Eustomias australensis	Gibbs, Clarke & Gomon, 1983	Australian Dragonfish	Melanostomiidae	Eustomias	australensis
37109013	Eustomias bifilis	Gibbs, 1960	Twinthread Dragonfish	Melanostomiidae	Eustomias	bifilis
37109014	Eustomias bulbornatus	Gibbs, 1960	Grapevine Dragonfish	Melanostomiidae	Eustomias	bulbornatus
37109015	Eustomias macronema	Regan & Trewavas, 1930	Bigbarb Dragonfish	Melanostomiidae	Eustomias	macronema
37109016	Eustomias macrurus	Regan & Trewavas, 1930	Yellowstem Dragonfish	Melanostomiidae	Eustomias	macrurus
37109017	Eustomias multifilis	Parin & Pokhilskaya, 1978	Multi-thread Dragonfish	Melanostomiidae	Eustomias	multifilis
37109018	Eustomias satterleei	Beebe, 1933	Twinray Dragonfish	Melanostomiidae	Eustomias	satterleei
37109019	Eustomias schmidti	Regan & Trewavas, 1930	Schmidt's Dragonfish	Melanostomiidae	Eustomias	schmidti
37109020	Eustomias vitiazi	Parin & Pokhilskaya, 1974	Vitiaz Dragonfish	Melanostomiidae	Eustomias	vitiazi
37109021	Flagellostomias boureei	(Zugmayer, 1913)	Longbarb Dragonfish	Melanostomiidae	Flagellostomias	boureei
37109022	Melanostomias globulifer	Fowler, 1934	Brightchin Dragonfish	Melanostomiidae	Melanostomias	globulifer
37109023	Melanostomias niger	Gilchrist & von Bonde, 1924	Fangtooth Dragonfish	Melanostomiidae	Melanostomias	niger
37109024	Melanostomias paucilaternatus	Parin & Pokhilskaya, 1978	Spothead Dragonfish	Melanostomiidae	Melanostomias	paucilaternatus
37109025	Melanostomias pauciradius	Matsubara, 1938	Three-ray Dragonfish	Melanostomiidae	Melanostomias	pauciradius
37109026	Melanostomias tentaculatus	(Regan & Trewavas, 1930)	Tentacle Dragonfish	Melanostomiidae	Melanostomias	tentaculatus
37109027	Melanostomias valdiviae	Brauer, 1902	Valdivia Dragonfish	Melanostomiidae	Melanostomias	valdiviae
37109028	Opostomias micripnus	(Günther, 1878)	Obese Dragonfish	Melanostomiidae	Opostomias	micripnus
37109029	Pachystomias microdon	(Günther, 1878)	Smalltooth Dragonfish	Melanostomiidae	Pachystomias	microdon
37109030	Photonectes albipennis	(Döderlein, 1882)	Whitepen Dragonfish	Melanostomiidae	Photonectes	albipennis
37109031	Photonectes braueri	(Zugmayer, 1913)	Brauer's Dragonfish	Melanostomiidae	Photonectes	braueri
37109032	Photonectes caerulescens	Regan & Trewavas, 1930	Bulbless Dragonfish	Melanostomiidae	Photonectes	caerulescens
37109033	Photonectes gracilis	Goode & Bean, 1896	Graceful Dragonfish	Melanostomiidae	Photonectes	gracilis
37109034	Photonectes mirabilis	Parr, 1927	Blueband Dragonfish	Melanostomiidae	Photonectes	mirabilis
37109035	Photonectes parvimanus	Regan & Trewavas, 1930	Fleshyfin Dragonfish	Melanostomiidae	Photonectes	parvimanus
37109036	Thysanactis dentex	Regan & Trewavas, 1930	Broomfin Dragonfish	Melanostomiidae	Thysanactis	dentex
37109037	Trigonolampa miriceps	Regan & Trewavas, 1930	Threelight Dragonfish	Melanostomiidae	Trigonolampa	miriceps
37109038	Eustomias vulgaris	Clarke, 2001	Common Dragonfish	Melanostomiidae	Eustomias	vulgaris
37109039	Eustomias parini	Clarke, 2001	Parin's Dragonfish	Melanostomiidae	Eustomias	parini
37109040	Eustomias cryptobulbus	Clarke, 2001	Hiddenbulb Dragonfish	Melanostomiidae	Eustomias	cryptobulbus
37110001	Malacosteus niger	Ayres, 1848	Black Loosejaw	Malacosteidae	Malacosteus	niger
37110003	Malacosteus australis	Kenaley, 2007	[a loosejaw]	Malacosteidae	Malacosteus	australis
37111001	Chauliodus sloani	Bloch & Schneider, 1801	Sloane's Viperfish	Chauliodontidae	Chauliodus	sloani
37112001	Stomias affinis	Günther, 1887	Honeycomb Scaly Dragonfish	Stomiidae	Stomias	affinis
